"Collection Name","Title#1","Creator#1","CreatorLink#1","Subject#1","SubjectLink#1","Subject#2","SubjectLink#2","Description#1","Publisher#1","Contributor#1","ContributorLink#1","Contributor#2","Date#1","Type#1","TypeLink#1","Format#1","FormatLink#1","Identifier#1","Identifier ARK#1","Source#1","Language#1","LanguageLink#1","Coverage#1","CoverageLink#1","Rights#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Winnipeg Jewish Renewal Oral History Collection","Interview with Abe Anhang, 05 September 2014","Lewis, Justin Jaron, 1961-","http://id.loc.gov/authorities/names/no2004060292","Jewish renewal","http://id.loc.gov/authorities/subjects/sh00002655","Schachter-Shalomi, Zalman, 1924-2014","http://id.worldcat.org/fast/102574","Audio interview of Abe Anhang, born 1938, by Dr. Justin Jaron Lewis at the interviewer's office at the University of Manitoba, Winnipeg. 00:00 Interview begins with an introduction of the interviewer and interviewee, as well as location information; 00:30 Abe mentions that he was probably one of the very first men Zalman met when Zalman moved to Winnipeg. He talks about programs at the Hillel Foundation and other activities Zalman did around Winnipeg; 02:55 Justin asks Abe to share his first impressions of Zalman. Abe states Zalman looked like Santa Claus and was very jovial. Zalman also had a great interest in people; 03:55 Justin asks Abe about his own Jewish background and how it influenced his relationship with Zalman. He briefly talks about Zalman’s background as well; 15:00 Abe talks about how Zalman got into the University of Manitoba position. He states it was helpful for him to gain a wider following; 16:30 Justin asks Abe if he thinks Zalman had a vision of what he wanted to do in Winnipeg before he arrived. Abe talks about Zalman’s experiences with LSD; 22:30 Paul talks about Zalman’s courses and the revolutionary ideas he taught. Zalman influenced many students to want to become rabbis even though their parents wanted them to become doctors or lawyers; 31:00 Paul talks about the differences between Zalman and other rabbis or professors; 35:10 Paul recollects another time he met with Zalman and talks about the book “The Jew in the Lotus.” He talks about the influences from Winnipeg that shaped Zalman; 43:28 Paul talks about the general state of Winnipeg’s religion and culture around the time Zalman arrived. He also talks about Zalman’s book “The First Step”; 57:35 Justin asks about meditative techniques that Zalman taught to his students; 01:01:04 Justin asks about women’s rights and what Zalman did for that movement; 01:07:23 Abe goes over examples of Zalman’s irreverence; 01:08:45 Justin asks Abe how Zalman had an impact on his old life and whether he would be different today; 01:20:40 Just thanks Abe for his participation.","University of Colorado Boulder Archives Department","Anhang, Abe","","","2014-09-05","Sound","http://purl.org/dc/dcmitype/Sound","audio/mpeg","http://www.iana.org/assignments/media-types/audio/mpeg","WinnipegAbeAnhang_05Sep52014.mp3","https://ark.colorado.edu/ark:/47540/3j8d0m69w7jm","Rabbi Zalman Schachter's Years in Winnipeg","English","http://id.loc.gov/vocabulary/iso639-2/eng","Winnipeg","http://vocab.getty.edu/tgn/7013143","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1","143157","4866","WinnipegAbeAnhang_05Sep52014.MP3","https://cudl.colorado.edu//luna/servlet/detail/CUB~5~5~1~143157"
"Winnipeg Jewish Renewal Oral History Collection","Interview with Alice Konefall, 12 November 2015","Lewis, Justin Jaron, 1961-","http://id.loc.gov/authorities/names/no2004060292","Jewish renewal","http://id.loc.gov/authorities/subjects/sh00002655","Schachter-Shalomi, Zalman, 1924-2014","http://id.worldcat.org/fast/102574","Audio interview of Alice Konefall, born 1942, by Dr. Justin Jaron Lewis and [Jane Emken] at her home. 00:00 Interview begins with an introduction of the interviewer and interviewee, as well as location information; 00:43 Jane asks Alice to talk about Zalman Schachter’s translation of Abraham Joshua Heschel’s poetry; 05:55 Alice talks about her first meeting with Rabbi Schachter and how she sent him a note about his talk. She then shows the first note she received back from Zalman Schachter and states how the note influenced her to want to study with him and signed up for his course at the University of Manitoba; 12:30 Alice talks about the class she took under Zalman and the requirement was to visit ten other places of worship to become familiar with other faiths; 15:10 Alice talks about body and food and tells a story about the class going to a small restaurant and how the students had to feed each other. Zalman also did a Sufi reading at this lab; 19:13 Alice also talks about the baptism lab and how the class went to the University of Manitoba pool. The students had to support each other while floating in the water; 29:23 Alice talks about the wonderful things Zalman would do with music and how it opened up ways of praying for Alice; 30:15 Alice remembers her experiences sitting in his office and casually talking with Zalman. 31:00 Alice talks about her Catholic background growing up; 39:00 Jane asks Alice what changed within her after learning from Rabbi Zalman. Alice states she had tunnel vision after learning with the sisters and her experiences opened her mind and helped her claim the truth of the Christian heritage; 42:05 Alice talks about her experience travelling as a pilgrim during a nine-month sabbatical in 1979. Alice wrote to Schachter for suggestions on where to travel. She also talks about writing to Rabbi Zalman while she was in Chicago. He wrote a poem back and Alice reads it aloud; 48:00 Jane asks about the friendship she had with Zalman and whether it was weird that she was in her 30s while she took Zalman’s classes. Alice states she was not the only person that was older in the class; 54:40 Jane asks Alice if Zalman ever talked about healing and if that became important to Alice. Alice talks about the way Zalman listened; 56:20 Jane finishes her questions and Alice continues to talk about her experiences Skyping with Zalman once his health began to fail. She also talks about how personal his phone messages were; 59:50 Alice tells a story that Zalman once told about a little girl whose mother prepared the girl for the birth of a new baby as “a gift from God.” The girl would talk to the baby and ask the baby about God; 01:03:00 Jane asks Alice if Zalman drove a car or rode a bike. Alice states he was already so environmentally conscious and never remembered him driving a car; 01:04:45 Jane and Alice continue to talk about Zalman’s translation of the psalms. Alice mentions Zalman used inclusive language in his psalms; 01:22:30 Jane talks about her professor’s unfinished books and projects which are similar to the unfinished projects Zalman left behind.","University of Colorado Boulder Archives Department","Konefall, Alice","","","2015-11-12","Sound","http://purl.org/dc/dcmitype/Sound","audio/mpeg","http://www.iana.org/assignments/media-types/audio/mpeg","WinnipegAliceKonefall-1-Nov122015.MP3","https://ark.colorado.edu/ark:/47540/tp480f68t439","Rabbi Zalman Schachter's Years in Winnipeg","English","http://id.loc.gov/vocabulary/iso639-2/eng","[Winnipeg]","http://vocab.getty.edu/tgn/7013148","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","29","289324","4878","WinnipegAliceKonefall-1-Nov122015.MP3","https://cudl.colorado.edu//luna/servlet/detail/CUB~5~5~29~289324"
"Winnipeg Jewish Renewal Oral History Collection","Interview with Alice Konefall, 31 January 2016","Lewis, Justin Jaron, 1961-","http://id.loc.gov/authorities/names/no2004060292","Jewish renewal","http://id.loc.gov/authorities/subjects/sh00002655","Schachter-Shalomi, Zalman, 1924-2014","http://id.worldcat.org/fast/102574","Audio interview of Alice Konefall, born 1942, by Dr. Justin Jaron Lewis at her home. 00:00 Interview begins with an introduction of the interviewer and interviewee, as well as location information. 00:40 Justin and Alice look at a course outline from Rabbi Zalman Schachter’s Psychology of Religion class. Alice talks about how the class would visit chapel spaces and explore with their hands, rather than their eyes as a sensory experience; 02:10 Alice talks about the Quaker aspect of the class where they would sit together in silence. She continues to talk about other course topics; 03:29 Alice talks about the course topic “zen music, sights, and sounds” and mentions how Schachter was before his time and wanted his students to appreciate the fact that every religious tradition has something we can learn from; 04:30 Alice grabs a wheel with spokes and talks about the different names we give to God from different religions; 05:39 Alice talks about how Schachter used music and the students came up with a prayer. She also talks about dance and body movement; 07:47 Alice talks about breathing and meditation; 08:56 Alice talks about body and food and tells a story about the class going to a restaurant and how the students had to feed each other. She mentions it was a really profound learning experience about paying attention to others; 10:19 They talk about baptism and water disciplines and how the class went to the University of Manitoba pool; 16:39 Alice talks about her experience studying in Chicago, and her experience at a Buddhist place of prayer; 17:20 Justin asks more about the class experience in Manitoba. Alice mentions there were about 20 to 30 students in the class; 19:00 Alice talks about her experience travelling as a pilgrim during a nine-month sabbatical. Alice wrote to Schachter for suggestions on where to travel; 20:45 Alice shares some personal documents she had with Schachter while he was living in Winnipeg in the 1970s; 22:30 Alice states that Schachter told Alice to get in touch with a Dominican priest during her pilgrimage; 23:40 Alice shares a piece of prayer that Schachter wrote, as well as other correspondence; 27:25 Justin looks through a potentially unpublished item from Schachter; 30:30 Alice talks about how Schachter would not grade anything but would leave comments sometimes; 32:00 Justin thanks Alice for her interview.","University of Colorado Boulder Archives Department","Konefall, Alice","","","2016-01-31","Sound","http://purl.org/dc/dcmitype/Sound","audio/mpeg","http://www.iana.org/assignments/media-types/audio/mpeg","WinnipegAliceKonefall-2-Jan312016.MP3","https://ark.colorado.edu/ark:/47540/h9210480m689","Rabbi Zalman Schachter's Years in Winnipeg","English","http://id.loc.gov/vocabulary/iso639-2/eng","[Winnipeg]","http://vocab.getty.edu/tgn/7013148","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","30","289323","4878","WinnipegAliceKonefall-2-Jan312016.MP3","https://cudl.colorado.edu//luna/servlet/detail/CUB~5~5~30~289323"
"Winnipeg Jewish Renewal Oral History Collection","Interview with Anna (JoAnn K.) Nault, 04 January 2015","Lewis, Justin Jaron, 1961-","http://id.loc.gov/authorities/names/no2004060292","Jewish renewal","http://id.loc.gov/authorities/subjects/sh00002655","Schachter-Shalomi, Zalman, 1924-2014","http://id.worldcat.org/fast/102574","Audio interview of Anna Nault, born 1951, by Dr. Justin Jaron Lewis at the interviewee's home in Winnipeg. 00:00 Interview begins with an introduction of the interviewer and interviewee, as well as location information; 00:45 Justin asks Anna to talk about how she knew Rabbi Zalman Schachter. She talks about her studies as a student and the Hillel Foundation. She continues to talk about the people that influenced her life at the university; 05:55 Anna mentions that Zalman never lacked intelligence and he knew exactly what she needed in her life and that was when she began to study with him. She continues to say that when she first met Zalman she was 21 years old and Zalman helped her find a place to live when she moved to Winnipeg. She also mentions that her and other students began to work and get more involved in the community and move towards a good direction because of Zalman’s influence; 12:00 Anna talks about the change in the community around the time Zalman left Winnipeg. She talks about her marriage to Michael in 1972 and how different it was a few years later and why Michael and her had separated; 16:00 Anna remembers when Alan Watts stayed at her house and how much of a womanizer he was. She continues to talk about Zalman’s teachings; 17:25 Anna talks about the influence of LSD from Timothy Leary and how Zalman would talk about it with the students; 19:50 Anna talks about the last time Zalman came to speak at a church and how important it was to her to tell Zalman about her family and the influence he had on her; 30:05 Anna mentions she would be interested in hearing other people’s stories about Zalman now that there was an oral history being made about Zalman; 36:10 Anna talks about Zalman as a role model and how he just knew who everyone was and what they could become. She continues to say that Zalman was loyal to people who were in touch with themselves; 37:38 Anna talks about her first and last conversions with Zalman. She also talks about her graduation from university and how much he helped her with her degree; 41:42 Justin asks Anna where her house was located around the University of Manitoba when she was student. She comments that the house was always full of people. She continues to talk about the other places she moved to in Winnipeg; 51:30 Anna talks about studying with Herbert Guenther; 54:25 Anna shares the only time she got angry at Zalman. She said Zalman gave her dope that was cut with cocaine and she was not okay with it. She talks about the group dynamic while everyone was stoned; 01:01:00 Anna talks about being the acting chaplain after Zalman left. She talks about other people in the community; 01:11:40 Justin asks Anna about her family celebrating yontef; 01:15:10 Justin thanks Anna for her participation in the interview.","University of Colorado Boulder Archives Department","Nault, Anna (JoAnn K.)","","","2014-01-04","Sound","http://purl.org/dc/dcmitype/Sound","audio/mpeg","http://www.iana.org/assignments/media-types/audio/mpeg","WinnipegAnnaNault_04Jan2015.mp3","https://ark.colorado.edu/ark:/47540/tr3z257467mj","Rabbi Zalman Schachter's Years in Winnipeg","English","http://id.loc.gov/vocabulary/iso639-2/eng","Winnipeg","http://vocab.getty.edu/tgn/7013143","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","2","143156","4866","WinnipegAnnaNault_04Jan2015.MP3","https://cudl.colorado.edu//luna/servlet/detail/CUB~5~5~2~143156"
"Winnipeg Jewish Renewal Oral History Collection","Interview with Avi Dolgin, 26 December 2014","Lewis, Justin Jaron, 1961-","http://id.loc.gov/authorities/names/no2004060292","Jewish renewal","http://id.loc.gov/authorities/subjects/sh00002655","Schachter-Shalomi, Zalman, 1924-2014","http://id.worldcat.org/fast/102574","Audio interview of Avi Dolgin, born 1946, by Dr. Justin Jaron Lewis via Skype from the interviewee's home in Vancouver to the interviewer's office. 00:00 Interview begins with an introduction of the interviewer and interviewee, as well as location information; 01:35 Justin asks Avi to share his recollections of Rabbi Zalman Schachter when he lived in Winnipeg. Avi talks about his time at the University of Manitoba and his interest in Jewish culture. Avi also talks about the Hillel Foundation; 10:00 Avi continues to talk about the posters he put up for a Hillel lunch event about psychedelics and Timothy Leary; 12:35 Avi continues to talk about Zalman’s use of LSD and mentions that Zalman never influenced him to do drugs; 18:00 Avi states that Zalman would do anything to help you out and he felt that was very reassuring; 20:23 Avi remembers a story of Zalman saying that he was “a Jewish practitioner of the universal religion” and appreciated that Zalman would teach about all spiritual paths; 31:00 Avi states he rarely saw Zalman’s wife at the events and congregations he attended. He continues to tell a story about Zalman where he asked Avi to park his car down the block instead of in front of his house; 45:15 Avi talks about a bio he wrote about himself and how he mentioned that he was a former student of Zalman’s. He wanted it known that what he does today is part of Zalman’s legacy. He continues to sing a song; 56:00 Justin asks Avi if Zalman had a political aspect to his teachings or if it was purely spiritual; 01:01:40 Avi talks about Zalman’s life long embrace for new technology; 01:09:45 Avi talks about the controversies that revolved around Zalman such as his divorce and drug use in the 1960s; 01:19:50 Justin asks Avi if women were involved in the groups as well; 01:25:00 Avi and Justin talk about the year Zalman left the University of Manitoba in 1975 and what he did after he left; 01:26:30 Avi tells a story about registering for classes and meeting Neil with Zalman; 01:37:00 Avi finishes with a story about taking a theology course that taught about the new testament of gospels; 01:42:00 Justin thanks Avi for his time.","University of Colorado Boulder Archives Department","Dolgin, Avi","","","2014-12-26","Sound","http://purl.org/dc/dcmitype/Sound","audio/mpeg","http://www.iana.org/assignments/media-types/audio/mpeg","WinnipegAviDolgin_26Dec2014.mp3","https://ark.colorado.edu/ark:/47540/2q5b7438m7f8","Rabbi Zalman Schachter's Years in Winnipeg","English","http://id.loc.gov/vocabulary/iso639-2/eng","Vancouver","http://vocab.getty.edu/tgn/7013135","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","3","143155","4866","WinnipegAviDolgin_26Dec2014.mp3","https://cudl.colorado.edu//luna/servlet/detail/CUB~5~5~3~143155"
"Winnipeg Jewish Renewal Oral History Collection","Interview with Barbara Findlay, 11 December 2014","Lewis, Justin Jaron, 1961-","http://id.loc.gov/authorities/names/no2004060292","Jewish renewal","http://id.loc.gov/authorities/subjects/sh00002655","Schachter-Shalomi, Zalman, 1924-2014","http://id.worldcat.org/fast/102574","Audio interview of Barbara Findlay, born 1948, by Dr. Justin Jaron Lewis at the interviewee's office in Winnipeg. 00:00 Interview begins with an introduction of the interviewer and interviewee, as well as location information; 00:40 Barbara admits that her contact with Zalman was not that great, but his influence was great. She mentions that she moved to Winnipeg in 1974 and talks about her conversion to Judaism; 02:27 Barbara talks about joining a spiritual group and learned more about the Jewish community. She also talks about the drug use at the time; 04:03 Barbara talks about her involvement with the reform movement and feminism; 05:20 Barbara talks about the level of spiritual practice and inclusivity that Zalman offered her. She also talks about movement, dance, and chanting; 06:00 Barbara talks about her career in spiritual care or spiritual health. She continues to talk about Zalman’s “aging and saging” work and how it was similar to what she has been working on; 07:10 Barbara talks about the time Zalman returned around 2007/2008 and her experience at that event and all the people she met; 07:53 Barbara talks about a Q&A session Zalman held after the chanting session; 09:40 Justin asks Barbara to describe the groups she joined in 1974. There would be large groups of around 40 or 50 people that would chant together and it was an elevating, powerful experience; 11:14 Justin asks Barbara if she spoke with Zalman in person in the 1970s; 13:00 Justin asks Barbara if Zalman spoke at all about the past in Winnipeg when he came to visit; 15:39 Barbara talks about Zalman’s role in her conversion to Judaism; 17:35 Justin thanks Barbara for her participation.","University of Colorado Boulder Archives Department","Findlay, Barbara","","","2014-12-11","Sound","http://purl.org/dc/dcmitype/Sound","audio/mpeg","http://www.iana.org/assignments/media-types/audio/mpeg","WinnipegBarbaraFindlay_11Dec2014.mp3","https://ark.colorado.edu/ark:/47540/tx663c80z988","Rabbi Zalman Schachter's Years in Winnipeg","English","http://id.loc.gov/vocabulary/iso639-2/eng","Winnipeg","http://vocab.getty.edu/tgn/7013143","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","4","143154","4866","WinnipegBarbaraFindlay_11Dec2014.MP3","https://cudl.colorado.edu//luna/servlet/detail/CUB~5~5~4~143154"
"Winnipeg Jewish Renewal Oral History Collection","Interview with Brenda Barrie, 04 November 2014","Lewis, Justin Jaron, 1961-","http://id.loc.gov/authorities/names/no2004060292","Jewish renewal","http://id.loc.gov/authorities/subjects/sh00002655","Schachter-Shalomi, Zalman, 1924-2014","http://id.worldcat.org/fast/102574","Audio interview of Brenda Barrie, born 1943, by Dr. Justin Jaron Lewis via the telephone from the interviewee's home in California to the interviewer's office. 00:00 Interview begins with an introduction of the interviewer and interviewee, as well as location information; 01:24 Brenda talks about her background growing up in the north end of Winnipeg and her Yiddish speaking home; 03:09 Brenda states she met Zalman when she was 15 years old. She spent many Friday nights at Zalman’s house when she turned 16; 05:00 Brenda states that Zalman would ask her “what kind of Jew are you going to be?” and he taught her more about Judaism in his basement. She continues to talk about her parent’s religious background; 21:26 Justin asks if Brenda’s kids ever met Zalman. She states only by reputation; 24:50 Justin asks Brenda if she ever spoke Yiddish with Zalman; 33:30 Brenda talks about her wedding and how Zalman got everyone dancing; 39:27 Justin asks if Brenda wants to read any of her writing or poetry for the oral history; 57:00 Brenda talks about Zalman and when her mother died; 59:00 Brenda was dismayed with the obituaries that were written about Zalman and she is happy the oral history project will fill in more detail about him; 59:40 Justin talks about the book “The First Step” from Zalman and asks about his early movements in Winnipeg; 01:02:18 Brenda gets Sid on the phone to talk about Zalman’s early work; 01:09:50 Justin thanks Brenda for her time.","University of Colorado Boulder Archives Department","Barrie, Brenda","http://id.loc.gov/authorities/names/no2006041940","","2014-11-04","Sound","http://purl.org/dc/dcmitype/Sound","audio/mpeg","http://www.iana.org/assignments/media-types/audio/mpeg","WinnipegBrendaBarrie_04Nov2014.mp3","https://ark.colorado.edu/ark:/47540/6v5w4j8940dq","Rabbi Zalman Schachter's Years in Winnipeg","English","http://id.loc.gov/vocabulary/iso639-2/eng","California","http://vocab.getty.edu/tgn/7007157","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","5","143153","4866","WinnipegBrendaBarrie_04Nov2014.MP3","https://cudl.colorado.edu//luna/servlet/detail/CUB~5~5~5~143153"
"Winnipeg Jewish Renewal Oral History Collection","Interview with Carol Rose, 27 November 2014","Lewis, Justin Jaron, 1961-","http://id.loc.gov/authorities/names/no2004060292","Jewish renewal","http://id.loc.gov/authorities/subjects/sh00002655","Schachter-Shalomi, Zalman, 1924-2014","http://id.worldcat.org/fast/102574","Audio interview of Carol Rose, born 1943, by Dr. Justin Jaron Lewis via Skype from the interviewee's home in St. Louis to the interviewer's office. 00:00 Interview begins with an introduction of the interviewer and interviewee, as well as location information; 00:50 Carol begins by talking about the time she met Zalman. Zalman took her to a youth retreat for Orthodox Jewish kids. She states she shared a bed with Zalman’s daughter at the retreat; 03:00 Carol mentions she was always curious of Jewish culture and talks about her parent’s background; 06:00 Carol talks about how she was interested in mysticism and would read books about it; 08:00 Carol talks about a concert she went to in Iowa where she met Zalman; 12:00 Carol talks about Zalman as a devotional person and how active his household was. She talks about the sanctuary in the basement; 17:17 Carol talks about her best story about Zalman. She mentions that she had to take a long bus ride with Zalman where he continued to teach during the bus ride where she learned so much from him; 24:50 Carol talks about Zalman’s experience after his divorce. She said he struggled with the community after that time; 31:20 Carol talks about “Zalmania” and how every time he taught it was considered Zalmania. She continues to talk about his teachings and how intelligent he was; 42:51 Carol talks about how Zalman was when he began to lose his health. He began to retreat more into himself; 51:00 Carol continues to talk more about Zalman’s personality. She states he was a person that was always learning; 01:01:00 Justin asks Carol if there are any more memories she has about Zalman as a teacher. Carol states one of the deepest things she learned from him was that you could be as inventive or as creative as you wanted to be; 01:11:50 Carol talks about the early stages of Zalman’s life in Winnipeg and how he attempted to fit in with the community; 01:15:30 Justin asks Carol for her point of view of being a woman in his groups. She states that Zalman listened to women and he desired the wisdom of women.","University of Colorado Boulder Archives Department","Rose, Carol","http://id.loc.gov/authorities/names/n96039965","","2014-11-27","Sound","http://purl.org/dc/dcmitype/Sound","audio/mpeg","http://www.iana.org/assignments/media-types/audio/mpeg","WinnipegCarolRose_27Nov2014.mp3","https://ark.colorado.edu/ark:/47540/594w8m8611z1","Rabbi Zalman Schachter's Years in Winnipeg","English","http://id.loc.gov/vocabulary/iso639-2/eng","St. Louis","http://vocab.getty.edu/tgn/7014444","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","6","143152","4866","WinnipegCarolRose_27Nov2014.mp3","https://cudl.colorado.edu//luna/servlet/detail/CUB~5~5~6~143152"
"Winnipeg Jewish Renewal Oral History Collection","Interview with Dan Waldman, 16 May 2016","Lewis, Justin Jaron, 1961-","http://id.loc.gov/authorities/names/no2004060292","Jewish renewal","http://id.loc.gov/authorities/subjects/sh00002655","Schachter-Shalomi, Zalman, 1924-2014","http://id.worldcat.org/fast/102574","Audio interview of Dan Waldman, born 1964, by Dr. Justin Jaron Lewis at Waldman’s home in Winnipeg. 00:00 Interview begins with an introduction of the interviewer and interviewee, as well as location information; 01:00 Dan begins his recollections of Zalman when he was around the age of ten to thirteen. He states his older sister had more contact with Zalman than he did himself; 02:00 Dan talks about Zalman’s strange reputation with the Jewish community. He talks about Zalman’s divorce with his wife and how scandalous it was within the community. He talks about how his family was not that religious but thought Zalman was quite strange; 05:20 Dan shares a memory about attending shabbaton with his sister and how there was singing and dancing, which seemed strange. He mentioned Zalman was there dancing and singing with a guitar; 08:00 Dan talks about the split opinion amongst people who loved Zalman and those who did not; 08:57 Dan shares a memory of the time he was at Zalman’s house on Easter and he remembers Zalman’s kids being there; 10:25 Dan remembers seeing Zalman while he was in a children’s choir; 13:00 Dan mentions that Zalman was like a toothache, one could never stop talking about him; 14:34 Justin asks if Dan’s sister kept up communication with Zalman after Zalman left. Dan was not sure to what extent she continued to talk to Zalman; 16:04 Justin asks what the normal type of Judaism was in Winnipeg; 21:48 Dan talks about “The Jew in the Lotus” and how Zalman offered spiritualism in the Jewish community which was different from any other Rabbi in the city at the time; 23:45 Justin talks about the different divides in the Jewish community and asks Dan if Zalman conformed to any of the divides. Dan states Zalman was his own being separate from the rest; 30:58 Justin asks if Dan’s family spoke Yiddish; 34:37 Justin confirms a rumor about Zalman dating a younger woman after his divorce; 38:10 Justin thanks Dan for his participation in the interview.","University of Colorado Boulder Archives Department","Waldman, Dan","","","2016-05-16","Sound","http://purl.org/dc/dcmitype/Sound","audio/mpeg","http://www.iana.org/assignments/media-types/audio/mpeg","WinnipegDanWaldmanMay162016.MP3","https://ark.colorado.edu/ark:/47540/n7764100h433","Rabbi Zalman Schachter's Years in Winnipeg","English","http://id.loc.gov/vocabulary/iso639-2/eng","Winnipeg","http://vocab.getty.edu/tgn/7013148","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","32","289330","4878","WInnipegDanWaldmanMay162016.MP3","https://cudl.colorado.edu//luna/servlet/detail/CUB~5~5~32~289330"
"Winnipeg Jewish Renewal Oral History Collection","Interview with David Cohen, 15 September 2014","Lewis, Justin Jaron, 1961-","http://id.loc.gov/authorities/names/no2004060292","Jewish renewal","http://id.loc.gov/authorities/subjects/sh00002655","Schachter-Shalomi, Zalman, 1924-2014","http://id.worldcat.org/fast/102574","Audio interview of David Cohen, born 1938, by Dr. Justin Jaron Lewis at the interviewee's home in Winnipeg. 00:00 Interview begins with an introduction of the interviewer and interviewee, as well as location information; 00:36 Justin asks David how he knew Reb Zalman. He states he knew him through the Hillel house and reflects on how Zalman connected with people; 02:20 David talks about his own family and the religious background in his household. He comments being with Zalman was nice because he didn’t judge you based on your religious background compared to the environment he grew up in; 04:20 David continues to talk about how Zalman made everyone feel comfortable and that was a significant aspect about Zalman that he liked; 5:09 David talks about the programming Zalman put on and how stimulating it was. He compares Zalman’s programming to the rigidity of other teachers’ programming; 06:34 David talks about the Student Zionist Association and the culture of the time; 09:42 David talks about his wife and his experience asking Zalman to officiate the marriage. He continues to talk about his family and how Zalman also attended his son’s wedding in northern Colorado; 13:40 Justin asks David what year he met Reb Zalman. David states he met him in 1956, 1957 or 1958 around the time he started at the university; 17:15 Justin asks David to describe the Passover Seders that Zalman held at his house. David mentions Zalman always encouraged people to come but asked people to park their cars around the corner because he didn’t want to see the cars. Otherwise people sat around the tables and enjoyed themselves. They also sang songs; 19:30 Justin asks how well he knew Zalman’s family. David states he knew his family well but did not know the kids as well; 21:10 Justin asks if David spoke Yiddish with Reb Zalman. David states he did speak Yiddish with Zalman; 24:25 Justin asks how David often referred to Zalman. It was mostly on a personal or casual basis and he liked Reb Zalman or Zalman; 25:07 Justin asks David if Zalman ever hugged women and men. David state he thinks he interacted with both men and women because Zalman did not want to make anyone feel uncomfortable; 27:50 Justin asks David if Zalman was the Chabad Rabbi at the time in Winnipeg. David admits he did not know what Chabad was at the time; 30:10 Justin asks David to recall specific programs at Hillel. He cannot recall specific details other than the fact that the topics were stimulating; 31:40 David talks about a close friend that became a rabbi. He continues to talk about programming and education from Zalman; 35:25 Justin asks if Zalman’s events happened in the north end of Winnipeg. David states the Hillel house was located in downtown; 38:30 Justin asks David if Zalman was a handy man, meaning he could create and fix things. David recalls Zalman tinkering with things; 40:30 Justin asks David if he thinks he became more religious after meeting Reb Zalman. David thinks he was always a very cultural Jew and his spiritual and religious background was always with him; 43:44 Justin closes the interview and David ensures that his stories are reflected in the context of the time, being in the 1950s and after the holocaust.","University of Colorado Boulder Archives Department","Cohen, David","","","2014-09-15","Sound","http://purl.org/dc/dcmitype/Sound","audio/mpeg","http://www.iana.org/assignments/media-types/audio/mpeg","WinnipegDavidCohen_15Sep2014.mp3","https://ark.colorado.edu/ark:/47540/kj7s3v98z0n9","Rabbi Zalman Schachter's Years in Winnipeg","English","http://id.loc.gov/vocabulary/iso639-2/eng","Winnipeg","http://vocab.getty.edu/tgn/7013143","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","7","143151","4866","WinnipegDavidCohen_15Sep2014.MP3","https://cudl.colorado.edu//luna/servlet/detail/CUB~5~5~7~143151"
